"values","treatment","group"
"1","1.79332194898592","A","1"
"2","3.14283271111112","A","1"
"3","2.69351736399632","A","1"
"4","3.43105480595164","A","1"
"5","2.81547804625278","A","1"
"6","-0.409974284101419","A","1"
"7","2.50480520438","A","1"
"8","1.64939914922282","A","1"
"9","0.29094255893381","A","1"
"10","2.04889104700577","A","1"
"11","2.33559237453682","A","1"
"12","0.50821835746641","A","1"
"13","2.8715290863155","A","1"
"14","1.78838722364772","A","1"
"15","-1.35832097662278","A","1"
"16","2.20417774903474","A","1"
"17","1.96501865059258","A","1"
"18","2.36992714154564","A","1"
"19","1.08537957779908","A","1"
"20","3.1479467649511","A","1"
"21","2.23580694510232","A","1"
"22","1.44084060633177","A","1"
"23","2.7133329913981","A","1"
"24","0.596846613640998","A","1"
"25","2.31277736935181","A","1"
"26","2.64989292215595","A","1"
"27","3.1055555557186","A","1"
"28","0.677466049803865","A","1"
"29","2.69554372832961","A","1"
"30","1.23153390683874","A","1"
"31","2.46014118873993","A","1"
"32","2.32438066225349","A","1"
"33","1.8826604603583","A","1"
"34","1.15496220064604","A","1"
"35","2.54489856685735","A","1"
"36","1.17538211883838","A","1"
"37","0.992682450204348","A","1"
"38","1.4107949340577","A","1"
"39","1.87939338117635","A","1"
"40","2.35008086442348","A","1"
"41","2.3848709257928","A","1"
"42","4.27547700938523","A","1"
"43","0.0293871193989028","A","1"
"44","3.27143086649763","A","1"
"45","3.64761684119758","A","1"
"46","2.00511860182534","A","1"
"47","-0.51998132303204","A","1"
"48","2.80092845601747","A","1"
"49","1.72674840577867","A","1"
"50","0.843101140317581","A","1"
"51","3.28208420618933","A","1"
"52","1.76864913853952","A","1"
"53","1.26239118480951","A","1"
"54","0.982997145833755","A","1"
"55","3.93204999696957","A","1"
"56","0.792525073633601","A","1"
"57","2.41619330854758","A","1"
"58","1.87046000311424","A","1"
"59","0.697378257097838","A","1"
"60","3.1464081513602","A","1"
"61","1.94023477802762","A","1"
"62","2.18243462218828","A","1"
"63","2.31395096100437","A","1"
"64","2.71766155806297","A","1"
"65","1.24443507388911","A","1"
"66","1.77003279107634","A","1"
"67","3.87049241313296","A","1"
"68","0.91232557253398","A","1"
"69","1.99238595680832","A","1"
"70","1.83790469233766","A","1"
"71","1.70584528905898","A","1"
"72","1.64573727348467","A","1"
"73","2.03167933932384","A","1"
"74","1.89397916088264","A","1"
"75","1.64899535825797","A","1"
"76","1.18123664266193","A","1"
"77","1.29060495783817","A","1"
"78","1.92479144857721","A","1"
"79","1.44808412593677","A","1"
"80","2.90056597374248","A","1"
"81","2.81518670688681","A","1"
"82","3.57457866467382","A","1"
"83","1.60619213075186","A","1"
"84","2.02127809589064","A","1"
"85","0.182012303984254","A","1"
"86","2.86653179202303","A","1"
"87","2.17189005860633","A","1"
"88","0.132108262869869","A","1"
"89","0.382227074734844","A","1"
"90","2.49363426415048","A","1"
"91","1.07560224102114","A","1"
"92","1.55848817783429","A","1"
"93","3.2150467952545","A","1"
"94","0.723435731701518","A","1"
"95","2.33028790420516","A","1"
"96","1.12887887614579","A","1"
"97","2.145394973249","A","1"
"98","3.89350772920772","A","1"
"99","0.275593731011457","A","1"
"100","0.723292465339747","A","1"
"101","2.11797000067915","A","1"
"102","0.553768640104408","A","1"
"103","2.34687945311911","A","1"
"104","3.94895672040236","A","1"
"105","2.03894373358812","A","1"
"106","2.35252208206648","A","1"
"107","1.74372423274745","A","1"
"108","2.40825390113119","A","1"
"109","1.83399576390281","A","1"
"110","2.49776614723091","A","1"
"111","1.57758655685437","A","1"
"112","2.16348664078339","A","1"
"113","0.859552327571713","A","1"
"114","3.50206340208337","A","1"
"115","2.51056026525653","A","1"
"116","1.78594292034849","A","1"
"117","2.36124167875761","A","1"
"118","2.32126006459165","A","1"
"119","2.51421614097273","A","1"
"120","4.03730532984315","A","1"
"121","1.02749027815778","A","1"
"122","3.10446218713816","A","1"
"123","0.658618131719047","A","1"
"124","1.20329559934706","A","1"
"125","2.57095076998707","A","1"
"126","1.71382724851979","A","1"
"127","1.49034449041185","A","1"
"128","0.273445288867022","A","1"
"129","3.12373023887049","A","1"
"130","0.255434705658777","A","1"
"131","1.73554146652906","A","1"
"132","2.38274241332691","A","1"
"133","0.94577589481451","A","1"
"134","1.33418668372708","A","1"
"135","2.04551157925376","A","1"
"136","3.06085407326668","A","1"
"137","1.77873181535833","A","1"
"138","1.75800007865175","A","1"
"139","2.50321786791037","A","1"
"140","2.53777293018","A","1"
"141","2.17144018654545","A","1"
"142","2.29479799051061","A","1"
"143","1.72033551756067","A","1"
"144","0.800803074938814","A","1"
"145","2.4959524488395","A","1"
"146","2.49446300892687","A","1"
"147","0.322496451956299","A","1"
"148","1.42543981798055","A","1"
"149","1.96220131766576","A","1"
"150","4.07900449864346","A","1"
"151","1.69927771600466","A","1"
"152","0.339780654140609","A","1"
"153","2.01506248652717","A","1"
"154","2.84727164117702","A","1"
"155","1.67846991640851","A","1"
"156","3.69577739088673","A","1"
"157","2.21374907226014","A","1"
"158","0.519475469045193","A","1"
"159","0.321613489194899","A","1"
"160","0.729352698734859","A","1"
"161","1.13933992823983","A","1"
"162","4.09100217678137","A","1"
"163","1.38430027999715","A","1"
"164","2.24127912936093","A","1"
"165","1.54293720997905","A","1"
"166","2.43840422834823","A","1"
"167","1.48652728690072","A","1"
"168","0.34168202141134","A","1"
"169","3.12964624629171","A","1"
"170","3.14577043690349","A","1"
"171","1.77031773920942","A","1"
"172","2.74375818803462","A","1"
"173","2.80258940460646","A","1"
"174","2.045577859132","A","1"
"175","3.59396117981101","A","1"
"176","0.713406013581378","A","1"
"177","1.61103372213549","A","1"
"178","2.43673947272688","A","1"
"179","1.23022628964208","A","1"
"180","0.587437393494104","A","1"
"181","1.22314614752842","A","1"
"182","1.45265625041381","A","1"
"183","2.30325240519491","A","1"
"184","2.65593455428915","A","1"
"185","1.61811486749187","A","1"
"186","1.57341833391316","A","1"
"187","2.94364744692918","A","1"
"188","2.31707614104842","A","1"
"189","3.42345108452801","A","1"
"190","2.48283868617125","A","1"
"191","2.01426876086664","A","1"
"192","1.55996930033002","A","1"
"193","0.335537258731986","A","1"
"194","3.77376502130231","A","1"
"195","3.28774229101359","A","1"
"196","0.67057563872459","A","1"
"197","1.67776341256687","A","1"
"198","1.76692196838815","A","1"
"199","4.28450714328074","A","1"
"200","2.74036613114644","A","1"
"201","3.47456528459883","A","1"
"202","1.41896518788642","A","1"
"203","2.74521248746666","A","1"
"204","1.11988109584927","A","1"
"205","2.56155207551524","A","1"
"206","2.58122136322693","A","1"
"207","0.906114951121427","A","1"
"208","2.83977825350763","A","1"
"209","1.19049364648773","A","1"
"210","1.55300096213531","A","1"
"211","2.2890602699301","A","1"
"212","1.512741456466","A","1"
"213","2.75557082534859","A","1"
"214","0.846048910804369","A","1"
"215","1.05679779502065","A","1"
"216","1.15028416975692","A","1"
"217","0.315841089178679","A","1"
"218","0.732821475361521","A","1"
"219","0.78431911437378","A","1"
"220","1.70268003407392","A","1"
"221","2.33544233205005","A","1"
"222","2.54934208326807","A","1"
"223","2.51952882180047","A","1"
"224","1.67045019186896","A","1"
"225","1.59781615756057","A","1"
"226","0.269546132316886","A","1"
"227","2.24226192599546","A","1"
"228","2.82693788134688","A","1"
"229","2.86941446393609","A","1"
"230","0.893512247980281","A","1"
"231","0.826123231305872","A","1"
"232","1.76745632774537","A","1"
"233","1.33042252700439","A","1"
"234","1.56099320075658","A","1"
"235","2.19795087657959","A","1"
"236","1.70999993388755","A","1"
"237","1.59355844383569","A","1"
"238","0.892167433326165","A","1"
"239","1.78584998554264","A","1"
"240","2.04850244594661","A","1"
"241","1.14242313267326","A","1"
"242","1.84694775028803","A","1"
"243","2.83123166353836","A","1"
"244","-0.165184881165581","A","1"
"245","2.57119709413556","A","1"
"246","1.82941873546834","A","1"
"247","2.89243951555178","A","1"
